versions	packages	classes	attrs	meths	pmeths
0.95.jar	org.joda.time	AbstractDateTime	1	45	27
0.95.jar	org.joda.time	AbstractDuration	1	64	33
0.95.jar	org.joda.time	AbstractInstant	1	39	38
0.95.jar	org.joda.time	AbstractInterval	1	29	25
0.95.jar	org.joda.time	AbstractPartialInstant	1	25	11
0.95.jar	org.joda.time.chrono	AbstractChronology	1	45	44
0.95.jar	org.joda.time.chrono	AbstractGJChronology$HalfdayField	2	4	3
0.95.jar	org.joda.time.chrono	AbstractGJChronology$YearInfo	2	1	0
0.95.jar	org.joda.time.chrono	AbstractGJChronology	2	44	8
0.95.jar	org.joda.time.chrono	AssembledChronology$Fields	2	4	1
0.95.jar	org.joda.time.chrono	AssembledChronology	2	47	41
0.95.jar	org.joda.time.chrono	BuddhistChronology	2	10	6
0.95.jar	org.joda.time.chrono	BuddhistEraDateTimeField	1	20	17
0.95.jar	org.joda.time.chrono	CopticChronology	2	18	7
0.95.jar	org.joda.time.chrono	CopticDayOfMonthDateTimeField	1	7	5
0.95.jar	org.joda.time.chrono	CopticEraDateTimeField	1	20	17
0.95.jar	org.joda.time.chrono	CopticMonthOfYearDateTimeField	1	10	8
0.95.jar	org.joda.time.chrono	CopticYearDateTimeField	1	18	16
0.95.jar	org.joda.time.chrono	GJChronology$CutoverField	2	29	23
0.95.jar	org.joda.time.chrono	GJChronology$ImpreciseCutoverField	2	10	6
0.95.jar	org.joda.time.chrono	GJChronology$LinkedDurationField	2	5	4
0.95.jar	org.joda.time.chrono	GJChronology	2	28	17
0.95.jar	org.joda.time.chrono	GJDayOfMonthDateTimeField	1	8	5
0.95.jar	org.joda.time.chrono	GJDayOfWeekDateTimeField	1	11	9
0.95.jar	org.joda.time.chrono	GJDayOfYearDateTimeField	1	8	5
0.95.jar	org.joda.time.chrono	GJEraDateTimeField	1	17	15
0.95.jar	org.joda.time.chrono	GJLocaleSymbols	1	22	17
0.95.jar	org.joda.time.chrono	GJMonthOfYearDateTimeField	1	22	20
0.95.jar	org.joda.time.chrono	GJWeekOfWeekyearDateTimeField	1	11	8
0.95.jar	org.joda.time.chrono	GJWeekyearDateTimeField	1	17	15
0.95.jar	org.joda.time.chrono	GJYearDateTimeField	1	18	16
0.95.jar	org.joda.time.chrono	GJYearOfEraDateTimeField	1	14	12
0.95.jar	org.joda.time.chrono	GregorianChronology	2	17	6
0.95.jar	org.joda.time.chrono	ISOChronology$Stub	2	4	0
0.95.jar	org.joda.time.chrono	ISOChronology	2	10	6
0.95.jar	org.joda.time.chrono	ISOYearOfEraDateTimeField	1	15	12
0.95.jar	org.joda.time.chrono	JulianChronology$NoWeekyearZeroField	2	2	0
0.95.jar	org.joda.time.chrono	JulianChronology$NoYearZeroField	2	5	3
