versions	package	cbo	aff	eff	lcom	mf	cs
0.95	org.joda.time	6	122	30	0.8873403019744484	0.4961636828644501	-521
0.95	org.joda.time.chrono	3	21	33	0.9318936877076412	0.5466666666666666	-705
0.95	org.joda.time.convert	3	9	22	0.8375	0.5379310344827586	-44
0.95	org.joda.time.field	1	38	2	0.9242424242424242	0.4268292682926829	-167
0.95	org.joda.time.format	3	15	18	0.9115853658536586	0.6636155606407322	-582
0.95	org.joda.time.property	1	6	9	0.8	0.25	-2
0.95	org.joda.time.tz	3	1	13	0.8874458874458875	0.7222222222222222	-151
1.0	org.joda.time	6	131	33	0.8929292929292929	0.44491080797481636	-632
1.0	org.joda.time.base	5	23	37	0.9454545454545454	0.08163265306122448	-43
1.0	org.joda.time.chrono	4	14	39	0.9323170731707318	0.4847161572052402	-642
1.0	org.joda.time.convert	5	7	25	0.8342105263157895	0.6116504854368932	-66
1.0	org.joda.time.field	1	49	8	0.9353846153846154	0.3559322033898305	-247
1.0	org.joda.time.format	3	14	21	0.9061561561561562	0.6756756756756757	-464
1.0	org.joda.time.tz	4	1	13	0.8761904761904762	0.7323943661971831	-130
1.1	org.joda.time	6	132	34	0.8936170212765957	0.4669260700389105	-718
1.1	org.joda.time.base	5	25	37	0.9454545454545454	0.07894736842105263	-43
1.1	org.joda.time.chrono	4	14	40	0.9294871794871795	0.4793028322440087	-604
1.1	org.joda.time.convert	5	7	25	0.8342105263157895	0.6116504854368932	-66
1.1	org.joda.time.field	1	50	9	0.9353846153846154	0.35	-247
1.1	org.joda.time.format	3	16	21	0.9061561561561562	0.6666666666666666	-464
1.1	org.joda.time.tz	4	1	13	0.8785714285714286	0.7285714285714285	-132
1.2.1	org.joda.time	6	133	34	0.8927304964539007	0.4618320610687023	-714
1.2.1	org.joda.time.base	5	25	37	0.9454545454545454	0.0784313725490196	-43
1.2.1	org.joda.time.chrono	4	19	41	0.9285714285714286	0.5029239766081871	-691
1.2.1	org.joda.time.convert	5	7	27	0.8342105263157895	0.6	-66
1.2.1	org.joda.time.field	1	48	10	0.9353846153846154	0.35443037974683544	-247
1.2.1	org.joda.time.format	3	17	21	0.9061561561561562	0.6631299734748011	-464
1.2.1	org.joda.time.tz	4	1	13	0.8785714285714286	0.7285714285714285	-132
